제목,연수 분야,시간,후기,별점,날짜,가격
흔들리지 않는 교실을 위한 단호한 학급운영,학급경영,30,"흔들리지 않는 단단한 학급 운영을 하고 싶어서 신청하게 되었습니다. 강사 선생님께서 본인의 노하우를 체계적이고 명확하게 알려주셔서 너무 유익했습니다. 특히, 문제 행동을 하는 학생들을 어떻게 지도해야하는지 팁을 주신 것들을 듣고 내년에는 꼭 적용해봐야겠다고 다짐했습니다. 학급 운영에 어려움을 겪는 신규 선생님들이나 내년도 학급 운영이 두려우신 쌤들에게 방학 연수로 추천합니다.^^",5,2024-01-30,85000
흔들리지 않는 교실을 위한 단호한 학급운영,학급경영,30,"신규교사로 고민도 많고, 어려운 학생들을 어떻게 지도해야 할지 막막함이 컸는데, 나도 할 수 있다는 자신감을 주는 연수였습니다. 학생들을 지도하는 것이 결국에 나의 교사생활의 행복으로 이어진다는 것을 깨닫게 해준 좋은 연수입니다. 좋은 선생님이 되도록 많이 노력하겠습니다.",5,2024-01-29,85000
흔들리지 않는 교실을 위한 단호한 학급운영,학급경영,30,여러모로 활용하기 좋은 유익한 연수입니다,5,2024-01-22,85000
흔들리지 않는 교실을 위한 단호한 학급운영,학급경영,30,유튜브로 접하다가 더 깊이 있게 연수를 듣고 싶어서 신청하게 되었습니다. 하나하나 적으면서 연수를 들었네요. 아이들을 대할 때 더 자신감이 생기고 예전보다 규율있고 질서정연한 학급을 만들어 갈 수 있었습니다. 강추!!,5,2024-01-22,85000
흔들리지 않는 교실을 위한 단호한 학급운영,학급경영,30,"오랜 기간 해마다 바뀌는 아이들을 대하고 학급경영 해오고 있지만, 연수를 통해 다시금 마음을 새롭게 하고, 관점을 바꾸어 보고, 새로운 아이디어를 배워 시도하고 싶은좋은 학급경영 연수였습니다. 동학년 다른 선생님들께도 많이 추천했네요~^^ 짱~입니다요~",5,2024-01-17,85000
흔들리지 않는 교실을 위한 단호한 학급운영,학급경영,30,학급운영에 있어서 많은 팁들을 얻을 수 있어 유익했습니다! 신규 선생님들께 추천드리고 싶어요.,5,2024-01-16,85000
흔들리지 않는 교실을 위한 단호한 학급운영,학급경영,30,친절하지만 단호한 교사가 되려고 노력해야겠습니다.,5,2024-01-08,85000
흔들리지 않는 교실을 위한 단호한 학급운영,학급경영,30,교직 생활에서 김호중 선생님 이전과 이후로 나뉠 정도로 인생의 전환점이 되었던 소중하고 훌륭했던 강의입니다. 정말 추천해요!! 이 강의를 듣고 1년동안 행복했어요~,5,2024-01-07,85000
흔들리지 않는 교실을 위한 단호한 학급운영,학급경영,30,"평소에도 최민준 소장님을 유튜브로 접해서 알고는 있었는데, 이렇게 연수를 통해서 더 심도있게 알려주셔서 정말 도움이 되었어요! 김택수 선생님께서는 교사의 입장에서 코칭해주시는 부분이 보완이 되어서 더더욱 좋았습니다. 이 연수 2탄 나오면 안되나요?ㅋ큐ㅠㅠㅠ 넘넘 좋아요",5,2024-01-04,85000
흔들리지 않는 교실을 위한 단호한 학급운영,학급경영,30,바른 학급 경영에 대한 강의입니다. 교과서같아요! 여러 가지 사례들이 있어서 왠만한 학급경영 고민들에 대한 답은 다 담고 있는 것 같습니다. 팁들까지 주니깐 뭔가 하고 있었는데 어설펐던 것까지 짚어주시네요.,4,2024-01-04,85000
흔들리지 않는 교실을 위한 단호한 학급운영,학급경영,30,연수내용이 학급 운영하는데 꼭 필요한 내용이네요!,5,2023-12-28,85000
흔들리지 않는 교실을 위한 단호한 학급운영,학급경영,30,PDC 학급긍정훈육법을 실제로 어떻게 녹여내는지 많이 참고가 되었습니다.,5,2023-12-24,85000
다양한 재료로 쉽게 따라 하는 캘리그라피,자기계발,15,"말 그대로 글씨 연습이네요. 많이 연습해야 하는 연수입니다. 글씨를 쓰는 동안 마음도 차분해지고 머리도 맑아지는 기분이었습니다. 교재를 굳이 사지 않아도 다운받아 연습할 수 있는 교재가 있었네요. 교재 구입하며 받은 액자, 뱃지 등의 재료들은 글씨가 예쁘지 않아 사용하지 못했습니다. 한 번쯤 들어봐도 좋을 듯 합니다.",5,2024-06-13,40000
다양한 재료로 쉽게 따라 하는 캘리그라피,자기계발,15,실생활에 유익한 연수 잘 들었습니다,5,2024-06-11,40000
다양한 재료로 쉽게 따라 하는 캘리그라피,자기계발,15,유익한 내용이 많았습니다. 고맙습니다.,5,2024-05-23,40000
다양한 재료로 쉽게 따라 하는 캘리그라피,자기계발,15,"제가 취미생활로 하고 싶어 신청했던 연수인데, 아이들이랑 수업시간에 함께 하며 활용했습니다.",4,2024-01-07,40000
다양한 재료로 쉽게 따라 하는 캘리그라피,자기계발,15,올해는 이미....지났고요. 내년에 아이들과 이런 수업을 적용해 보겠습니다. 좋은 연수 감사해요~,5,2023-12-27,40000
"기초학력교육, 관계형성이 먼저다.",학습지도,15,"기초학력 교육이라 그래서, 이미 알고 있는 내용을 가르칠 것이라 생각해서 별 기대없이 들었던 연수였습니다. 그런데 기초학력에 도움되는 사이트 설명이나 부진아 들에게 도움이 되는 다양한 보드게임을 소개해주셔서 재밌게 들었습니다. 이렇게 학생들이 흥미를 가질 만한 지도 내용을 소개해주셔서 실제로 활용할 때 도움이 많이 될 것 같아요!",5,2024-06-13,40000
"기초학력교육, 관계형성이 먼저다.",학습지도,15,기본이 되는 기초학력신장을 위한 관계형성에 대한 알찬 연수였습니다.,5,2024-06-10,40000
"기초학력교육, 관계형성이 먼저다.",학습지도,15,너무 훌륭한 연수이었습니다.,5,2024-06-03,40000
"기초학력교육, 관계형성이 먼저다.",학습지도,15,꼭 필요한 안전연수입니다. 감사합니다.,5,2024-05-27,40000
"기초학력교육, 관계형성이 먼저다.",학습지도,15,유익한 시간이 되었습니다.,5,2024-05-08,40000
"기초학력교육, 관계형성이 먼저다.",학습지도,15,알찬 연수 잘 들었습니다~,5,2024-05-07,40000
"기초학력교육, 관계형성이 먼저다.",학습지도,15,기초 학습에 대해 조금은 개념을 잡을 수 있었습니다,5,2024-04-29,40000
"기초학력교육, 관계형성이 먼저다.",학습지도,15,학습 부진이 많은 학급 구성으로 인해 고민에 빠져있을 때 의미 있는 울림이 되어 준 연수,5,2024-04-23,40000
"기초학력교육, 관계형성이 먼저다.",학습지도,15,이미 알고 있던 게임과 새로 알게 된 게임을 보면서 나도 틈이 날 때 우리 반 학생들과 재미있게 해 봐야겠다는 생각이 드는 연수였어요...,4,2024-04-18,40000
"기초학력교육, 관계형성이 먼저다.",학습지도,15,기초학력교육에 대해서 조금 더 생각하고 발전할 수 있는 기회가 되었습니다.,5,2024-03-24,40000
"기초학력교육, 관계형성이 먼저다.",학습지도,15,정말 유용한 연수 잘 들었습니다~,5,2024-02-23,40000
"기초학력교육, 관계형성이 먼저다.",학습지도,15,유익한 연수였습니다.,5,2024-01-18,40000
"기초학력교육, 관계형성이 먼저다.",학습지도,15,직무연수로 듣게 되었는데 유익했습니다.,5,2023-12-29,40000
"기초학력교육, 관계형성이 먼저다.",학습지도,15,유익한 연수였습니다. 많은 도움 받았네요^^,5,2023-12-20,40000
시크릿 플레이리스트 슈퍼콘서트,자기계발,30,요즘 교육적 이슈가 되고 문해력에 대해서 막연히 알고 있던 것을 넘어서 바르게 이해할 수 있는 기회가 되었음. 학급내에서 너무나 많은 차이를 보이는 아이들의 읽기 능력의 배경을 이해하고 지도하는데 도움이 됨.,5,2024-06-13,85000
시크릿 플레이리스트 슈퍼콘서트,자기계발,30,타로 강의를 청강 하면서 타로 가 점을 본다고 보다는 학생들의 내면 세계를 파악하 는 상담도구 로 활용하여 학생들과 보다 친밀한 관계를 유지 할 수 있는 계기가 마련 될 수 있다고 생각합니다.,5,2024-06-06,85000
시크릿 플레이리스트 슈퍼콘서트,자기계발,30,"옛날에 좋아했던 노래들, 힐링되는 음악이야기 너무 좋네요.",5,2024-05-28,85000
시크릿 플레이리스트 슈퍼콘서트,자기계발,30,연수를 받으면서도 힐링되는 시간이었습니다 좋은 연수 감사합니다,5,2024-05-27,85000
시크릿 플레이리스트 슈퍼콘서트,자기계발,30,진행자의 진솔한 토크가 재밌었습니다.,5,2024-05-08,85000
시크릿 플레이리스트 슈퍼콘서트,자기계발,30,지친 몸과 마음에 힐링을 주는 안식이 있는 연수예요. 감사합니다. 추천해요~,5,2024-04-25,85000
시크릿 플레이리스트 슈퍼콘서트,자기계발,30,안전교육에 꼭 필요한 연수였던 것 같습니다.,5,2024-04-24,85000
시크릿 플레이리스트 슈퍼콘서트,자기계발,30,"듣다가 너무 좋아서 자꾸 주위에 추천하게 됩니다. 나만 알고 듣기엔 아까운 연수. 바쁜 일상에 ,,잠시 쉬어가는 시간도 갖 게되는 좋은 연수였습니다.",5,2024-04-23,85000
시크릿 플레이리스트 슈퍼콘서트,자기계발,30,오래전부터 고민하던 평가 패러다임을 이번 기회에 확실히 바꾸었으면 좋겠습니다. 더이상 지금과 같은 방법으로는 미래가 불투명합니다.,5,2024-04-22,85000
시크릿 플레이리스트 슈퍼콘서트,자기계발,30,시즌1을 들으며 아이들 보낸 후 힐링의 시간이 충족되었던지라 기대에 부풀어 시즌2까지 들었습니다. 역시 유리상자 ^^ 감사합니다,5,2024-04-22,85000
시크릿 플레이리스트 슈퍼콘서트,자기계발,30,"예전 것을 그대로 사용하는 것은 좋은데, 임창정과 같이 사회적 물의를 일으킨 연예인은 보기가 껄끄럽네요. 편집해주시면 좋겠습니다.",5,2024-04-18,85000
시크릿 플레이리스트 슈퍼콘서트,자기계발,30,음악과 토크 콘서트에 참여한 것처럼 편안하게 즐길 수 있는 연수~! 간만의 휴식같은 힐링이 되는 연수라서 좋았다.,5,2024-04-10,85000
시크릿 플레이리스트 슈퍼콘서트,자기계발,30,강사님의 명쾌하고 밝은 목소리가 가장 기억에 남습니다. 그리고 멋진 노래도요.. 오랜만에 음악을 들으며 힐링하는 시간이 되었습니다.,5,2024-03-29,85000
시크릿 플레이리스트 슈퍼콘서트,자기계발,30,좋은 음악들으면서 힐링되는 연수였습니다.,5,2024-03-16,85000
시크릿 플레이리스트 슈퍼콘서트,자기계발,30,편안하게 들을 수 있는 연수였습니다~,5,2024-03-11,85000
시크릿 플레이리스트 슈퍼콘서트,자기계발,30,"부담없이 들을 수 있어서, 멍 때리며 들을 수 있어서, 라디오 듣듯이 들을 수 있어서 좋았습니다.^^",5,2024-02-21,85000
시크릿 플레이리스트 슈퍼콘서트,자기계발,30,힘든 상황에 찾은 연수 덕분에 힘든 마음 추스리고 평안한 일상 생활이 가능했어요. 감사합니다.,5,2024-01-03,85000
시크릿 플레이리스트 슈퍼콘서트,자기계발,30,"연수를 들으며 우리 교사를 위한 콘서트라는 생각에 귀기울이게 됩니다. 그리고 힐링이 되네요. 가끔씩 듣고 싶은 음악을 복습하기를 하며 다시 듣는데, 교사를 위한 위로라고 생각하니 더 마음에 닿습니다. 이 연수 적극 추천합니다.",5,2023-12-26,85000
시크릿 플레이리스트 슈퍼콘서트,자기계발,30,"포근한 목소리의 두 MC가 소개해주는 노래소리와 가수들의 진솔한 이야기들이 진정한 쉼을 느끼게 해주는 연수였습니다. 모처럼 부담없는 연수, 잘 들었습니다.",5,2023-12-18,85000
시크릿 플레이리스트 슈퍼콘서트,자기계발,30,우리 생활에서 친근하게 접할 수 있는 대중음악은 우리 생활에 녹아 슬픔과 기쁩을 함께 하며 우리가 살아가는 힘을 주고 사람들과 함께 어울릴 수 있는 끈이 되어 준것 같아 고맙고 소중하게 느껴집니다. 가수나 연예인들은 멀리 무대에만 있는 줄 알았는데 이헌석 평론가님과 이세준 님 가깝게 느껴집니다. 건강하시고 좋은 음악 많이 들려주세요. 고맙습니다.,5,2023-12-18,85000
일본 현지 성우와 함께 배우는 마법의 360문장,어학,30,"다양한 문장을 통해 어휘와 문법을 자세히 배울 수 있어 유익하고 보람있는 일본어 연수라고 생각됩니다. 특히, 다양한 성우를 통해 생생한 일본어는 다른 연수에 없는 알찬 구성이라고 사료됩니다. 마지막에 존경어와 겸양어만 추가된다면 더욱 완벽한 중급 일본어 연수가 되리라 확신합니다.",5,2024-06-13,85000
일본 현지 성우와 함께 배우는 마법의 360문장,어학,30,쉬운 표현을 먼저 배우면서 접할 수 있었습니다. 그래도 암기는 제 몫이라 어렵긴 하네요.,5,2024-05-20,85000
일본 현지 성우와 함께 배우는 마법의 360문장,어학,30,"일본어에 대한 어느 정도 이해가 있는 분이 들으면 아주 좋습니다. 일본 여행 전에 실력향상을 위해 들었는데, 여러가지 문장으로 연습해볼 수 있어서 좋았고 의외로 문법이 많이 나와 도움이 되었습니다.",5,2024-01-30,85000
일본 현지 성우와 함께 배우는 마법의 360문장,어학,30,즐거운 강의 잘 들었습니다. 쏙쏙 박히네요,5,2023-12-18,85000
일본 현지 성우와 함께 배우는 마법의 360문장,어학,30,"일본어 읽기와 발음부터 좀 더 기초부터 배울수 있는 과정이 있으면 좋을것 같습니다. 베트남어, 태국어 등 동남아 언어도 있으면 좋겠습니다.",5,2023-12-18,85000
이야기가 있는 유쾌한 클래식,자기계발,30,강의 형식이 아니라 편안한 이야기를 듣는 느낌이라 좋았습니다.,5,2024-06-13,75000
이야기가 있는 유쾌한 클래식,자기계발,30,유익한 연수였습니다,5,2024-06-04,75000
이야기가 있는 유쾌한 클래식,자기계발,30,오케스트라에 대한 30강을 통해 자세히 알려주심,5,2024-05-28,75000
이야기가 있는 유쾌한 클래식,자기계발,30,"음악, 클래식에 대해 알아보고 우리에게 친숙한 음악과 설명, 해석을 통하여 이해하고 들을 수 있어서 좋습니다.",5,2024-05-27,75000
이야기가 있는 유쾌한 클래식,자기계발,30,"기본적으로 알고 있던 클래식에 대해 이야기를 통해 곡의 주제를 좀 더 자세히 알게 되었고, 작곡자와 작품, 클랙식 악기와 특징 등을 자세히 알게 되었음.",5,2024-05-10,75000
이야기가 있는 유쾌한 클래식,자기계발,30,대중음악에 많이 노출되어 있는 우리 아이들에게 재미있는 이야기로 클래식을 지도할 수 있는 알찬 내용으로 구성되어 있습니다.,5,2024-05-08,75000
이야기가 있는 유쾌한 클래식,자기계발,30,교사의 필수 연수 입니다. 강력추천합니다.,5,2024-02-10,75000
이야기가 있는 유쾌한 클래식,자기계발,30,"어려운 연수가 아니라 쉽게쉽게 들을 수 있었습니다. 무엇보다도 하브루타 러닝 프로세스가 간단하여 연수 듣는 내내 수업에 적용해볼 수 있었다는 장점이 있었습니다. 저학년이라 찬반 토론까지는 못해봤지만 둘씩 짝지어 생각을 나누는 활동을 자주 하게 되니 수업 참여도도 높고 점점 생각하는 힘이 길러지는 모습을 보게 되었습니다. 처음에는 질문할 것이 없다고 했던 아이들도 질문이 습관이 되어 이제 그림만 봐도, 동화를 들려줘도 수 많은 질문이 쏟아지는 것을 보며 지금이라도 이 연수를 듣게 된 것을 다행이라고 생각했습니다. 시험은 어렵지 않게 출제됩니다. 그러나 단지 이수가 목적이 아니고 점수가 필요한 분이라면 처음 들을 때는 배속 없이 잘 들으셔야 합니다. 그 다음은 1,2배속, 1,4배속으로 3번 정도 들으시고 교재 꼼꼼하게 보시기 바랍니다. 꼭 헷갈릴만한 문제가 출제되니까요. 좋은 연수니까 점수와 상관없이 꼭 들어보시길 권장합니다.",5,2023-12-19,75000
고전읽기로 1년 학급운영 쉽게 끝내기,학급경영,30,고전읽기 연수를 통해 새롭게 고전을 되돌아 보게 된 기회를 가졌으며 나름대로 다시 고전을 접하며 고전에서 새로운 해석과 의미를 부여해 보았다.,5,2024-06-13,85000
고전읽기로 1년 학급운영 쉽게 끝내기,학급경영,30,"학급에서 명작 고전을 읽어주면 아이들이 재미있게 듣고 관심을 많이 갖습니다. 좋은 고전을 추천받고 아이들과 할 수 있는 활동을 알고 싶어 연수를 신청하였습니다. 어휘학습, 저학년과 고학년에 적당한 활동들을 구체적으로 알려주셔서 도움이 많이 되었습니다. 감사합니다.",5,2024-05-16,85000
고전읽기로 1년 학급운영 쉽게 끝내기,학급경영,30,"어렸을 때 읽었던 고전을 다시 한번 느끼고 싶어서 신청했습니다. 잊고 있었던 내용들을 좀 더 자세히 알게 되었고, 반 아이들과 독후 활동 하는데도 많은 도움이 될 것 같습니다.",5,2024-05-10,85000
고전읽기로 1년 학급운영 쉽게 끝내기,학급경영,30,고전 들어만 보고 안 읽어본 책들이 꽤 되었어요. 아이들과 함께 책을 읽어보고 이야기를 나누는 활동이 꽤 의미있었습니다.,5,2024-04-30,85000
고전읽기로 1년 학급운영 쉽게 끝내기,학급경영,30,"교양도 쌓고, 학생들과 재미있게 고전에 대해 즐길 수 있는 연수 좋아요",5,2024-04-26,85000
고전읽기로 1년 학급운영 쉽게 끝내기,학급경영,30,추천하고 싶은 연수입니다. 내용도 흥미롭고 독후 활동지가 좋아요,5,2024-04-15,85000
고전읽기로 1년 학급운영 쉽게 끝내기,학급경영,30,고전 책도 주셔서 좋고 강의도 재미있었습니다.,5,2024-04-12,85000
고전읽기로 1년 학급운영 쉽게 끝내기,학급경영,30,"고전읽기로 다양한 독후활동을 소개하는 연수 초등 선생님에게 추천 중등, 고등은 추천하지 않습니다.",4,2024-03-24,85000
고전읽기로 1년 학급운영 쉽게 끝내기,학급경영,30,독서활동지도력을 기르기 위하여 수강하였습니다. 알고있던 작품들을 다양하게 활용할 수 있는 실용적인 연수였습니다 감사합니다 ^^,5,2024-02-29,85000
고전읽기로 1년 학급운영 쉽게 끝내기,학급경영,30,"그림책, 권장 도서 읽기 등 다양한 학급 운영을 통해 학생들의 책 읽기 활동을 해보았다. 책을 가까이 접하는 초등학생에게 책을 쉽게 접할 수 있는 방법을 학급 운영에 많은 선생님께서 지도해 주신다. 고전 읽기 학급 운영 1년을 보낼 수 있는 다양한 학습 자료도 함께 제공해 주니 더욱 쉽게 다가갈 수 있어서 좋다.",5,2024-02-27,85000
고전읽기로 1년 학급운영 쉽게 끝내기,학급경영,30,봄방학 동안 연수를 들으며 신학기 준비를 할 수 있어 정말 유익했습니다. 감사합니다. 더 많은 이야기로 만날 수 있으면 좋겠습니다.,5,2024-02-23,85000
고전읽기로 1년 학급운영 쉽게 끝내기,학급경영,30,"고전이 고전인 이유는 그만큼 문학적인 가치가 뛰어나기 때문인데 학생들이나 교사인 제가 자발적으로 즐겁게 읽기가 쉽지는 않더라구요. 학생들의 문해력이 해를 거듭할수록 심각하게 낮아짐을 느낍니다. 문학적인 가치가 높은 고전을 재미있게 접근할 수만 있다면 학생들의 문해력에 큰 도움이 되리라 생각하여 연수를 신청하였습니다. 교과에 직접 활용할 수 있도록 각 책마다 해당 차시를 말씀해 주시고 저학년, 고학년 학습자의 수준에 따라 다양한 학습 놀이를 제공해 주시니 큰 도움이 되었습니다. 고전 뿐 아니라 다양한 교과에도 활용할 수 있는 팁을 많이 얻어가는 좋은 연수입니다.",5,2024-01-25,85000
고전읽기로 1년 학급운영 쉽게 끝내기,학급경영,30,"이은경 선생님의 '고전 읽기로 1년 학급 운영 쉽게 끝내기' 연수를 방학 중 수강하였습니다. 사실 이 연수를 신청하고 나서 주변에서 유튜브에 흔한 강의인데 굳이 들을 필요가 있냐는 얘기도 들어서... 취소할까 했는데... 역시!! 수강하길 잘 했다~라는 생각을 했어요. 일단은 이은경 선생님의 전달력과 뻔하지 않은 독후활동 아이디어, 그리고 고전작품이 어느 학년, 어느 교과와 연계하여 지도할 수 있는지를 분석하셔서 소개해주신 부분이 참 마음에 쏙 들었어요. 어떤 학년에서 어느 부분과 통합할 수 있을지를 이은경 선생님이 해주셔서... 역시 초등교사 출신 선생님이라서 그런지 남다르셨습니다. 또한 교실에서 아이들과 할 수 있는 활동에 대해서 아이들의 반응과 주의점을 현실감있게 전달해 주셔서 활동에 대한 안내를 충분히 받아서 당장에라도 할 수 있는 용기가 생겼습니다. 진작 이 연수를 듣고 지난 한 해 고전읽기를 했더라면 좋았겠다라는 후회가 밀려온 연수, 그리고 올해 만난 아이들과 바로 고전읽기를 하고 싶다는 기대감이 커진 연수... 바로 고전 읽기로 1년 학급 운영 쉽게 끝내기 연수 소감입니다. 앞으로도 아이스크림에서 하는 양질의 연수를 기대합니다.",5,2024-01-18,85000
고전읽기로 1년 학급운영 쉽게 끝내기,학급경영,30,아이들과 고전수업을 하고 있는데 흥미를 불러일으키기가 정말 쉽지 않습니다. 이번 강의는 고전에 대한 의미를 되새겨보는 좋은 시간이었고 학생들의 입장에서 고전을 바라보는 계기가 되었습니다. 이은경 선생님의 강의를 참고해서 다시 한번 더 힘내서 수업해 보려고 합니다. 많은 도움 주셔서 감사드립니다.,5,2024-01-09,85000
고전읽기로 1년 학급운영 쉽게 끝내기,학급경영,30,"고전을 활용해서 다양한 수업을 할 수 있는 기회가 된 것 같습니다. 국어, 도덕, 사회, 창체 등의 시간에 잘 활용할 수 있을 것 같고 학생들의 사고력과 어휘력 향상에 큰 도움이 될 것 같습니다.",5,2024-01-04,85000
고전읽기로 1년 학급운영 쉽게 끝내기,학급경영,30,지금까지는 그림책 위주로 교과연계 수업 및 창체수업을 했지만 앞으로는 저학년에게도 고전문학을 적용해야 겠다는 욕심이 생겼습니다. 욕심만이 아닌 실제 적용까지 가보도록 동학년 선생님들과 협의하여 학년 교육과정 안에 녹아들어가도록 해보려고 합니다. 감사합니다.,5,2023-12-31,85000
고전읽기로 1년 학급운영 쉽게 끝내기,학급경영,30,"내년 동아리 구상을 위해 가볍게 들었던 연수였습니다. 매차시 제시되는 도서와 활동지, 그리고 운영 방안까지 제시해주셔서 정말 큰 도움이 되었습니다.",5,2023-12-28,85000
고전읽기로 1년 학급운영 쉽게 끝내기,학급경영,30,독서논술교육에 효율적으로 고전을 활용할 수 있어요~!,5,2023-12-25,85000
"어서 와! 이탈리아는 처음이지, 본격 이탈리아 도시 여행",자기계발,15,편안하게 들을 수 있는 연수입니다.,5,2024-06-13,50000
"어서 와! 이탈리아는 처음이지, 본격 이탈리아 도시 여행",자기계발,15,실상은 교실에 있지만 이탈리아 연수를 들으러 로그인 할 때마다 너무 설레고 즐거웠습니다 ^^ 다른 나라 여행도 떠나고 싶네요!~넘 즐거웠어요~!!! 이탈리아 도시 여행 연수 넘넘넘 강추추추~!!!!!!!!!!!!!!!!!!!!!!!!합니다 ^^*,5,2024-06-10,50000
"어서 와! 이탈리아는 처음이지, 본격 이탈리아 도시 여행",자기계발,15,이탈리아 여행을 꿈꾸며 연수 들었어요. 연수에 나온 여러 장소들 방문하고 싶네요. 아는 것만큼 보인다고...좋은 연수였어요.,5,2024-05-29,50000
"어서 와! 이탈리아는 처음이지, 본격 이탈리아 도시 여행",자기계발,15,이탈리아는 나라 전체가 세계문화유산 같습니다. 딸과 함께 꼭 다시 가보고 싶은 나라입니다.,5,2024-05-10,50000
"어서 와! 이탈리아는 처음이지, 본격 이탈리아 도시 여행",자기계발,15,직접 이탈리아 여행을 가고 싶게 할 정도로 너무 재미있게 잘 들었습니다~,5,2024-04-18,50000
"어서 와! 이탈리아는 처음이지, 본격 이탈리아 도시 여행",자기계발,15,이탈리아에 대해서 자세히 알게 된 연수입니다. 전보다 배경지식이 넓혀짐을 느낍니다. 추천합니다.,5,2024-04-10,50000
"어서 와! 이탈리아는 처음이지, 본격 이탈리아 도시 여행",자기계발,15,이탈리아 여행을 앞두고 보면 좋을 연수입니다. 생생한 여행 가이드의 현지 영상과 사회자분들의 설명을 들으며 미리 사전 지식을 가볍게 익힐 수 있어서 좋았습니다. 심도 있는 내용까지는 아니지만 가볍게 편안한 마음으로 볼 수 있습니다.,5,2024-01-21,50000
"어서 와! 이탈리아는 처음이지, 본격 이탈리아 도시 여행",자기계발,15,"작년 여름에 이탈리아로 가족 여행을 다녀왔습니다. 여행 프로그램을 보고 나름 열심히 공부를 하고 다녀왔다고 생각했는데 이번 연수를 통해서 더 많은 사실을 알게 되었습니다. 연수를 듣고 갔었으면 하는 아쉬움도 있었지만 그래도 연수 내내 이탈리아에 대한 추억을 되살릴 수 있었고, 기회가 되면 꼭 한 번 다시 가고 싶다는 희망을 가지게 되었습니다. 감사합니다.",5,2024-01-11,50000
"어서 와! 이탈리아는 처음이지, 본격 이탈리아 도시 여행",자기계발,15,코로나로 인해서 계획되었던 이탈리아 여행이 추소되어서 많이 아쉬웠어요. 그런데 기간제 교사 생활을 하면서 이런 연수를 듣게 되어 기분 좋았습니다. 올해는 이탈리아 여행을 꼭 가기를 기대하며 연수 잘 들었어요.,5,2024-01-03,50000
"미래를 여는 교육, 2022 개정 교육과정(초등편)",학습지도,15,마음먹고 연수를 듣지 않는 한 바뀐 교과서를 토대로 대략적인 교육과정만 알게 되는데 개정교육과정 연수가 있어 큰 흐름을 이해할 수 있었습니다. 감사합니다.,5,2024-06-13,50000
"미래를 여는 교육, 2022 개정 교육과정(초등편)",학습지도,15,쉽게 정리해주니 매우 유익했습니다. 감사합니다.,5,2024-05-08,50000
"생각을 꺼내는 교육, 이제는 IB 시대",학습지도,15,IB에 대한 개념이해에는 도움이 되는 연수입니다. 실제 어떻게 하는 건 알기 어려워요,3,2024-06-13,50000
